"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","ATMEGA328P-AURCT-ND","ATMEGA328P-AUR","IC MCU 8BIT 32KB FLASH 32TQFP","","1","0","2.14000","2.14"
"2","1","768-1007-1-ND","FT232RL-REEL","IC USB FS SERIAL UART 28-SSOP","","1","0","4.50000","4.50"
"3","1","535-9122-1-ND","ABM3B-16.000MHZ-B2-T","CRYSTAL 16.0000MHZ 18PF SMD","","1","0","0.63000","0.63"
"4","1","MIC37100-3.3WS-CT-ND","MIC37100-3.3WS-TR","IC REG LINEAR 3.3V 1A SOT223","","1","0","1.44000","1.44"
"5","1","S1012EC-40-ND","PREC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","1","0","0.51000","0.51"
"6","1","151-1206-1-ND","690-005-299-043","CONN RCPT USB2.0 MINI B SMD R/A","","1","0","0.65000","0.65"
"7","1","SW415-ND","B3S-1000","SWITCH TACTILE SPST-NO 0.05A 24V","","1","0","0.70000","0.70"
"8","1","MF-MSMF050-2CT-ND","MF-MSMF050-2","PTC RESET FUSE 15V 500MA 1812","","1","0","0.49000","0.49"
"9","10","160-1169-1-ND","LTST-C150GKT","LED GREEN CLEAR 1206 SMD","","10","0","0.25700","2.57"
"10","100","311-280HRCT-ND","RC0603FR-07280RL","RES SMD 280 OHM 1% 1/10W 0603","","100","0","0.01010","1.01"
"11","10","311-1.00KHRCT-ND","RC0603FR-071KL","RES SMD 1K OHM 1% 1/10W 0603","","10","0","0.02400","0.24"
"12","10","311-0.0GRCT-ND","RC0603JR-070RL","RES SMD 0 OHM JUMPER 1/10W 0603","","10","0","0.02100","0.21"
"13","10","478-1167-1-ND","06035A220JAT2A","CAP CER 22PF 50V C0G/NP0 0603","","10","0","0.07400","0.74"
"14","10","399-1100-1-ND","C0603C104Z3VACTU","CAP CER 0.1UF 25V Y5V 0603","","10","0","0.03600","0.36"
"15","10","1276-1102-1-ND","CL10A105KA8NNNC","CAP CER 1UF 25V X5R 0603","","10","0","0.04300","0.43"
